"$150,000 or more",10
"$50,000 to $74,999",3
"$50,000 to $74,999",8
"Less than $10,000",6
"$25,000 to $49,999",5
"$75,000 to $99,999",8
"$10,000 to $24,999",9
999,10
"$25,000 to $49,999",5.5
"$50,000 to $74,999",8
"$50,000 to $74,999",8
"$50,000 to $74,999",10
"$10,000 to $24,999",9
"$50,000 to $74,999",10
"$10,000 to $24,999",4
"$50,000 to $74,999",6
"$10,000 to $24,999",8
"$50,000 to $74,999",10
"$75,000 to $99,999",10
999,9
"$75,000 to $99,999",8
"$150,000 or more",5
"$100,000 to $149,999",7
"$100,000 to $149,999",8
"$25,000 to $49,999",8
"$25,000 to $49,999",10
"$10,000 to $24,999",6
"$25,000 to $49,999",10
"$75,000 to $99,999",7
999,8
"$100,000 to $149,999",3
"$25,000 to $49,999",7
"Less than $10,000",8
"$75,000 to $99,999",9
"$75,000 to $99,999",8
"$50,000 to $74,999",8
"$50,000 to $74,999",6
"$150,000 or more",9
"$50,000 to $74,999",8
999,7
"Less than $10,000",9
"$10,000 to $24,999",7
"$50,000 to $74,999",9
"$10,000 to $24,999",8
"$10,000 to $24,999",9
"$75,000 to $99,999",8
"$25,000 to $49,999",7
"$75,000 to $99,999",5
999,10
"$10,000 to $24,999",8
"$10,000 to $24,999",6
"$75,000 to $99,999",2
999,8
"$10,000 to $24,999",8
"Less than $10,000",8
999,1
"$75,000 to $99,999",8
999,1
"$150,000 or more",10
"$100,000 to $149,999",8
"$100,000 to $149,999",7
999,4
999,8
"$150,000 or more",7
"$25,000 to $49,999",9
"$25,000 to $49,999",9
"Less than $10,000",5
"$150,000 or more",1
"$75,000 to $99,999",8
"$50,000 to $74,999",10
"$25,000 to $49,999",5
"$100,000 to $149,999",7
"$25,000 to $49,999",10
"$25,000 to $49,999",7
"$25,000 to $49,999",9
"$150,000 or more",8
"$150,000 or more",6
"$10,000 to $24,999",10
"$10,000 to $24,999",7
"$25,000 to $49,999",7
"$50,000 to $74,999",8
"$50,000 to $74,999",9
"$50,000 to $74,999",9
"$100,000 to $149,999",8
"$150,000 or more",7
